COMMON NAME,START MONTH,START DAY,END MONTH,END DAY,POLYGON
Sprague's Pipit,,,,,
Brambling,,,,,
Gray-crowned Rosy-Finch,,,,,
House Finch,,,,,"46.46778832496062, -95.02632735883769|46.634007089683664, -77.95357345258769|56.00514788628344, -76.57639310371127|58.99671810411405, -95.23827525483485|53.18695597560194, -96.09909818183627"
Cassin's Finch,,,,,
Lesser Goldfinch,,,,,
Chestnut-collared Longspur,,,,,
Smith's Longspur,,,,,"54.56365640575819, -92.84672650211155|51.66356303297081, -75.44438275211155|41.95687844291426, -69.29203900211155|39.848024633922726, -84.18949993961155|44.673968236350795, -99.43852337711155"
McCown's Longspur,,,,,
Thick-billed Longspur,,,,,
Cassin's Sparrow,,,,,
Bachman's Sparrow,,,,,
Grasshopper Sparrow,,,,,"46.83247357834313, -96.3924802268779|46.99757384693988, -74.1122067893779|56.24481335004855, -74.22684420684075|57.68206807220005, -91.98075045684075|52.59153966111512, -95.59286534185931"
Grasshopper Sparrow,12,,3,,
Chipping x Clay-colored Sparrow (hybrid),,,,,
Clay-colored x Field Sparrow (hybrid),,,,,
Field Sparrow,,,,,"46.83247357834313, -96.3924802268779|46.99757384693988, -74.1122067893779|56.24481335004855, -74.22684420684075|57.68206807220005, -91.98075045684075|52.59153966111512, -95.59286534185931"
Brewer's Sparrow,,,,,
Black-throated Sparrow,,,,,
Lark Sparrow,,,,,
Lark Bunting,,,,,
Golden-crowned Sparrow,,,,,
Harris's Sparrow,,,,,"53.00725550665729, -81.9365000836181|49.35947798649629, -74.23783065002435|42.57523636966161, -71.9883799664306|40.90201374167771, -86.6496348492431|47.42614097179719, -85.1939463726806"
White-crowned x White-throated Sparrow (hybrid),,,,,
White-throated x White-crowned Sparrow,,,,,
Dark-eyed Junco x White-throated Sparrow (hybrid),,,,,
Dark-eyed Junco x White-throated Sparrow,,,,,
Vesper Sparrow,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
LeConte's Sparrow,11,,3,,
Nelson's Sparrow,6,,8,,"46.15128657513815, -83.92235728608485|46.470014204010255, -77.55028697358485|45.55443786611173, -71.35399791108485|43.34714128892288, -76.96801158295985|41.35412244425683, -83.19725962983485"
Nelson's Sparrow,12,,3,,
Baird's Sparrow,,,,,
Henslow's Sparrow,,,,,
Green-tailed Towhee,,,,,
Spotted Towhee,,,,,
Eastern Towhee,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Yellow-breasted Chat,,,,,
Yellow-headed Blackbird,,,,,"48.54033416817514, -93.34524053660348|55.993856213420116, -85.17151228475407|53.24722787393846, -67.68127790975409|40.607801893383005, -81.96345453567876|42.35661204672489, -83.48778259473487|42.32412751168586, -82.21610263012232|42.462403303164784, -82.34020143066324"
Bobolink,11,,3,,
Western Meadowlark,,,,,"50.28153446516572, -95.08189786191193|49.63126628313149, -90.64342129941193|48.99382996221611, -87.73204434628693|47.53862614390008, -85.78746426816193|43.41213631801386, -86.18297208066193|40.64637149843311, -81.98619473691193|44.81604410300137, -69.17613614316193|58.541820495684306, -81.06334317441193|56.26707891442877, -95.63121426816193"
Eastern Meadowlark,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Western x Eastern Meadowlark (hybrid),,,,,
Orchard Oriole,,,,,"46.83247357834313, -96.3924802268779|46.99757384693988, -74.1122067893779|56.24481335004855, -74.22684420684075|57.68206807220005, -91.98075045684075|52.59153966111512, -95.59286534185931"
Hooded Oriole,,,,,
Bullock's Oriole,,,,,
Baltimore Oriole,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Scott's Oriole,,,,,
Brewer's Blackbird,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Great-tailed Grackle,,,,,
Ovenbird,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Worm-eating Warbler,,,,,
Golden-winged Warbler,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Blue-winged Warbler,,,,,"46.83247357834313, -96.3924802268779|46.99757384693988, -74.1122067893779|56.24481335004855, -74.22684420684075|57.68206807220005, -91.98075045684075|52.59153966111512, -95.59286534185931"
Blue-winged Warbler,12,,3,,
Prothonotary Warbler,,,,,"45.30924367404927, -82.45489419122684|49.957902150184644, -100.90093911310184|58.38700300012785, -87.70635903497684|53.73860975693969, -79.68633950372684|47.993196088837095, -78.23614419122684|45.52517183860918, -73.07256997247684|44.43727345577775, -75.01715005060184|43.8855837350239, -76.30255044122684|43.77066024836085, -77.46160805841434|43.71907099948581, -78.62066567560184|42.78286641183597, -78.91180337091434"
Swainson's Warbler,,,,,
Tennessee Warbler,12,,3,,
Virginia's Warbler,,,,,
Kentucky Warbler,,,,,
Hooded Warbler,,,,,"46.83247357834313, -96.3924802268779|46.99757384693988, -74.1122067893779|56.24481335004855, -74.22684420684075|57.68206807220005, -91.98075045684075|52.59153966111512, -95.59286534185931"
Hooded Warbler,12,,3,,
Kirtland's Warbler,,,,,
Magnolia Warbler,12,,3,,
Bay-breasted Warbler,12,,3,,
Blackburnian Warbler,12,,3,,
Chestnut-sided Warbler,12,,3,,
Magnolia x Chestnut-sided Warbler (hybrid),,,,,
Magnolia x Chestnut-sided Warbler,,,,,
Blackpoll Warbler,12,,3,,
Black-throated Blue Warbler,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Magnolia x Black-throated Blue Warbler (hybrid),,,,,
Pine Warbler,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Yellow-rumped Warbler (Audubon's),,,,,
Audubon's Warbler,,,,,
Magnolia x Yellow-rumped Warbler (hybrid),,,,,
Yellow-rumped x Magnolia Warbler,,,,,
Yellow-throated Warbler,,,,,
Prairie Warbler,,,,,"46.83247357834313, -96.3924802268779|46.99757384693988, -74.1122067893779|56.24481335004855, -74.22684420684075|57.68206807220005, -91.98075045684075|52.59153966111512, -95.59286534185931"
Grace's Warbler,,,,,
Black-throated Gray Warbler,,,,,
Townsend's Warbler,,,,,
Black-throated Gray x Townsend's Warbler (hybrid),,,,,
Black-throated Gray x Townsend's Warbler,,,,,
Hermit Warbler,,,,,
Black-throated Green Warbler,12,,3,,
Painted Redstart,,,,,
Hepatic Tanager,,,,,
Summer Tanager,,,,,
Scarlet Tanager,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Western Tanager,,,,,
Pyrrhuloxia,,,,,
Black-headed Grosbeak,,,,,
Blue Grosbeak,,,,,
Lazuli Bunting,,,,,
Indigo Bunting,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Varied Bunting,,,,,
Painted Bunting,,,,,
Dickcissel,,,,,
