COMMON NAME,START MONTH,START DAY,END MONTH,END DAY,POLYGON
Common Gallinule,12,,3,,
Common Gallinule,,,,,"46.83247357834313, -96.3924802268779|46.99757384693988, -74.1122067893779|56.24481335004855, -74.22684420684075|57.68206807220005, -91.98075045684075|52.59153966111512, -95.59286534185931"
American Coot,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Purple Gallinule,,,,,
Yellow Rail,,,,,"50.33646042760662, -75.76210017981717|50.75533897677039, -83.45252986731717|55.941303061043925, -91.71424861731717|48.303048418433455, -100.30555721106717|46.15484692044365, -87.62733455481717|40.360914497782595, -83.82606502356717|40.719921517933514, -69.82948299231717"
Yellow Rail,9,,5,,
Black Rail,,,,,
Whooping Crane,,,,,
Black-necked Stilt,,,,,
American Avocet,,,,,
American Oystercatcher,,,,,
Lesser Sand-plover,,,,,
Snowy Plover,,,,,
Wilson's Plover,,,,,
Common Ringed Plover,,,,,
Piping Plover,,,,,
Eurasian Dotterel,,,,,
Upland Sandpiper,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|58.37027337965573, -86.75645732445791"
Long-billed Curlew,,,,,
Black-tailed Godwit,,,,,
Hudsonian Godwit,6,,8,,"50.33646042760662, -75.76210017981717|50.75533897677039, -83.45252986731717|55.941303061043925, -91.71424861731717|48.303048418433455, -100.30555721106717|46.15484692044365, -87.62733455481717|40.360914497782595, -83.82606502356717|40.719921517933514, -69.82948299231717"
Hudsonian Godwit,12,,3,,
Marbled Godwit,6,,7,,"55.01977841993126, -91.66477846636705|49.487333283350615, -79.18430971636705|43.633618247963646, -73.11985659136705|40.4360021202757, -82.61204409136705|50.50428079470779, -95.53196596636705|53.374749829280596, -95.83958315386705"
Ruff,,,,,
Sharp-tailed Sandpiper,,,,,
Baird's Sandpiper,11,,6,,
Red Knot,11,,4,,
Curlew Sandpiper,,,,,
Purple Sandpiper,,,,,"55.34502161753965, -93.37022685570791|53.63513477448582, -86.83336162133291|52.812995289320895, -86.58067607445791|50.215867806880944, -84.28453349633291|50.33873628139631, -79.95317363305166|50.29313643655241, -78.37938212914541|54.588240811629646, -74.04527568383291|46.90930599818056, -71.85350322289541|47.0442323641476, -80.74418925805166|46.96931530395245, -89.65684794945791|47.163881139787385, -96.30357646508293|48.93212677120807, -98.4362242083668"
Little Stint,,,,,
Dunlin x White-rumped Sandpiper (hybrid),,,,,
White-rumped Sandpiper x Dunlin,,,,,
Western Sandpiper,,,,,
Long-billed Dowitcher,,,,,"46.02610981883406, -83.52900619590828|47.79706924327128, -78.29951400840828|55.91116539882202, -79.26631088340828|57.55014776356594, -88.40693588340828|53.86432023308791, -95.35029525840828|49.137303708216905, -96.52583236778328"
Long-billed Dowitcher,12,,3,,
Red-necked Phalarope,12,,3,,
Red Phalarope,,,,,
Wandering Tattler,,,,,
Solitary Sandpiper,12,,3,,
Spotted Redshank,,,,,
Willet,,,,,
Marsh Sandpiper,,,,,
Pomarine Jaeger,,,,,"55.99138363818026, -82.2441172711181|49.35947798649629, -74.23783065002435|44.68625761903563, -72.85561324279779|44.187776876621385, -78.37280989807122|43.33673215129864, -80.56509734313958|43.0864163128494, -79.17584181945794|42.948286223117435, -79.00731326263421|42.82596279137309, -80.04728079956048|42.79056119750254, -81.08900786560052|42.02575305919438, -82.9142832867431|42.19653099166755, -83.74250651519769|43.20936416538255, -81.59343482177728|44.37437136162827, -81.38220549743646|45.22821797206454, -82.26300002258294|46.32444662291857, -86.41960860412591|48.70827005192334, -95.47474623840326|53.8248986836188, -97.5865244976806|57.29863300099407, -89.87137557189935"
Long-tailed Jaeger,,,,,"55.99138363818026, -82.2441172711181|49.35947798649629, -74.23783065002435|44.68625761903563, -72.85561324279779|44.187776876621385, -78.37280989807122|43.33673215129864, -80.56509734313958|43.0864163128494, -79.17584181945794|42.948286223117435, -79.00731326263421|42.82596279137309, -80.04728079956048|42.79056119750254, -81.08900786560052|42.02575305919438, -82.9142832867431|42.19653099166755, -83.74250651519769|43.20936416538255, -81.59343482177728|44.37437136162827, -81.38220549743646|45.22821797206454, -82.26300002258294|46.32444662291857, -86.41960860412591|48.70827005192334, -95.47474623840326|53.8248986836188, -97.5865244976806|57.29863300099407, -89.87137557189935"
Dovekie,,,,,
Thick-billed Murre,,,,,
Razorbill,,,,,
large alcid sp.,,,,,
"Auks, Murres, Guillemots, and Puffins",,,,,
Black Guillemot,,,,,
Long-billed Murrelet,,,,,
Ancient Murrelet,,,,,
Atlantic Puffin,,,,,
Black-legged Kittiwake,,,,,
Ivory Gull,,,,,
